package_id,item_id,user__id,user__feedback,data__image,data__item_id,data__title,data__category_breadcrumbs,annotation__output,annotation__time,reference__output,feedback__output,test_group
484,72656,768,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",34.0,0 days 00:00:11.793167000,50.0,,high quality feedback
503,72830,517,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",3.0,0 days 00:00:26.488949000,50.0,,high quality feedback
503,72830,609,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",0.0,0 days 00:00:21.145052000,50.0,50.0,high quality feedback
503,72830,705,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",10.0,0 days 00:00:10.650014000,50.0,,high quality feedback
486,72948,525,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",100.0,0 days 00:00:00.031473000,50.0,50.0,high quality feedback
486,72948,539,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",220.0,0 days 00:00:00.017368000,50.0,,high quality feedback
486,72948,563,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",8.0,0 days 00:00:00.044011000,50.0,,high quality feedback
486,72948,573,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",80.0,0 days 00:00:07.744039000,50.0,50.0,high quality feedback
486,72025,525,True,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",30.0,0 days 00:00:00.035108000,50.0,50.0,high quality feedback
486,72025,539,False,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/yGUAAOSwCtNb9Vci/$_57.JPG?set_id=8800005007,263958778810,Lenovo ThinkPad Bluetooth Laser Mouse,"Computers/Tablets & Networking > Keyboards, Mice & Pointers > Mice, Trackballs & Touchpads",59.0,0 days 00:00:00.017812000,50.0,,high quality feedback
